Species,Authority,Common Name
Galeopsis tetrahit,L.,Common Hemp-nettle
Galeopsis tetrahit x bifida = G. x ludwigii,Hausskn.,
Galeopsis bifida,Boenn.,Bifid Hemp-nettle
Galeopsis ladanum,L.,Broad-leaved Hemp-nettle
Phlomis russeliana,(Sims) Benth.,Turkish Sage
Phlomis fruticosa,L.,Jerusalem Sage
Phlomis samia,L.,Greek Sage
Melittis melissophyllum,L.,Bastard Balm
Marrubium vulgare,L.,White Horehound
Marrubium alysson,L.,
Marrubium peregrinum,L.,
Scutellaria altissima,L.,Somerset Skullcap
Scutellaria galericulata,L.,Skullcap 
Scutellaria galericulata x minor = S. x hybrida,Strail,
Scutellaria minor,Huds.,Lesser Skullcap
Scutellaria hastifolia,L.,Norfolk Skullcap
Teucrium scorodonia,L.,Wood Sage
Teucrium chamaedrys,L.,Wall Germander
Teucrium scordium,L.,Water Germander
Teucrium botrys,L.,Cut-leaved Germander
Teucrium flavum,L.,
Teucrium fruticans,L.,Shrubby Germander
Teucrium resupinatum,Desf.,
Teucrium spinosum,L.,
Ajuga reptans,L.,Bugle 
Ajuga reptans x pyramidalis = A. x pseudopyramidalis,Schur,
Ajuga pyramidalis,L.,Pyramidal Bugle
Ajuga chamaepitys,(L.) Schreb.,Ground-pine 
Ajuga genevensis,L.,Cornish Bugle
Ajuga iva,(L.) Schreb.,
Nepeta cataria,L.,Cat-mint 
Nepeta grandiflora,M. Bieb.,
Nepeta nepetella,L.,Lesser Cat-mint
Nepeta nuda,L.,Hairless Cat-mint
Nepeta nepetella x racemosa = N. x faassenii,Bergmans ex Stearn,Garden Cat-mint
Glechoma hederacea,L.,Ground-ivy 
Prunella vulgaris,L.,Selfheal 
Prunella vulgaris x laciniata = P. x intermedia,Link,
Prunella laciniata,(L.) L.,Cut-leaved Selfheal
Prunella grandiflora,(L.) Scholler,Large-flowered Selfheal
Melissa officinalis,L.,Balm 
Satureja montana,L.,Winter Savory
Satureja hortensis,L.,Summer Savory
Clinopodium menthifolium,(Host) Stace,Wood Calamint
Clinopodium ascendens,(Jord.) Samp.,Common Calamint
Clinopodium calamintha,(L.) Stace,Lesser Calamint
Clinopodium vulgare,L.,Wild Basil
Clinopodium acinos,(L.) Kuntze,Basil Thyme
Clinopodium grandiflorum,(L.) Stace,Greater Calamint
Clinopodium rotundifolium,Pers.,Round-leaved Calamint
Hyssopus officinalis,L.,Hyssop 
Origanum vulgare,L.,Wild Marjoram
Origanum majorana,L.,Pot Marjoram
Origanum onites,L.,
Origanum virens,Hoffmanns. & Link,
Thymus vulgaris,L.,Garden Thyme
Thymus pulegioides,L.,Large Garden
Thymus polytrichus,A. Kern. ex Borbás,Wild Thyme
Thymus polytrichus subsp. ligusticus,(Briq.) Stace,
Thymus serpyllum,L.,Breckland Garden
Lycopus europaeus,L.,Gypsywort 
Mentha arvensis,L.,Corn Mint
Mentha arvensis x aquatica = M. x verticillata,L.,Whorled Mint
Mentha arvensis x aquatica x spicata = M. x smithiana,R.A. Graham,Tall Mint
Mentha arvensis x spicata = M. x gracilis,Sole,Bushy Mint
Mentha arvensis x suaveolens = M. x carinthiaca,Host,
Mentha aquatica,L.,Water Mint
Mentha aquatica x spicata = M. x piperita,L.,Peppermint 
Mentha aquatica x suaveolens = M. x suavis,Guss.,
Mentha spicata,L.,Spear Mint
Mentha spicata x suaveolens = M. x villosa,Huds.,Apple-mint 
Mentha spicata x longifolia = M. x villosonervata,Opiz,Sharp-toothed Mint
Mentha suaveolens,Ehrh.,Round-leaved Mint
Mentha suaveolens x longifolia = M. x rotundifolia,(L.) Huds.,False Apple-mint
Mentha pulegium,L.,Pennyroyal 
Mentha requienii,Benth.,Corsican Mint
Mentha longifolia,(L.) Huds.,Horse Mint
Rosmarinus officinalis,L.,Rosemary 
Salvia sclarea,L.,Clary 
Salvia glutinosa,L.,Sticky Clary
Salvia pratensis,L.,Meadow Clary
Salvia pratensis x nemorosa = S. x sylvestris,L.,Hybrid Clary
Salvia verbenaca,L.,Wild Clary
Salvia viridis,L.,Annual Clary
Salvia verticillata,L.,Whorled Clary
Salvia aethiopis,L.,African Sage
Salvia x andrzejowskii,Blocki,
Salvia argentea,L.,Silver Sage
Salvia barrelieri,Etl.,
Salvia bornmuelleri,Hausskn.,
Salvia nemorosa,L.,Balkan Clary
Salvia officinalis,L.,Sage 
Salvia reflexa,Hornem.,Mintweed 
Salvia splendens,Ker Gawl.,Scarlet Sage
Salvia villicaulis,Borbás,
Salvia virgata,Jacq.,
Amethystea caerulea,L.,
Cedronella canariensis,(L.) Webb & Berthel.,Canary Islands Balm
Coleus blumei,Benth.,Painted-nettle 
Dracocephalum moldavica,L.,Moldavian Dragon-head
Dracocephalum parviflorum,Nutt.,American Dragon-head
Dracocephalum thymiflorum,L.,
Elsholtzia ciliata,(Thunb.) Hyl.,
Lallemantia iberica,(M. Bieb.) Fisch. & C.A. Mey.,
Lallemantia peltata,(L.) Fisch. & C.A. Mey.,
Lavandula angustifolia,Mill.,Garden Lavender
Lavandula angustifolia x latifolia = L. x intermedia,Loisel.,Hybrid Lavender
Lavandula latifolia,Medik.,Broad-leaved Lavender
Moluccella laevis,L.,Bells-of-Ireland 
Monarda citriodora,Cerv. ex Lag.,Lemon Beebalm
Monarda didyma,L.,
Ocimum basilicum,L.,Sweet Basil
Ocimum micranthum,Willd.,Wild Basil
Perilla frutescens,(L.) Britton,
Physostegia virginiana,(L.) Benth.,Obedient-plant 
Prasium majus,L.,
Sideritis hyssopifolia,L.,
Sideritis lanata,L.,
Sideritis montana,L.,Mountain Ironwort
Sideritis romana,L.,
Wiedemannia orientalis,Fisch. & C.A. Mey.,
Ziziphora capitata,L.,
Ziziphora clinopodioides,Lam.,
Ziziphora taurica,M. Bieb.,
Hippuris vulgaris,L.,Mare's-tail 
Callitriche hermaphroditica,L.,Autumnal Water-starwort
Callitriche truncata,Guss.,Short-leaved Water-starwort
Callitriche truncata subsp. occidentalis,(Rouy) Braun-Blanq.,
Callitriche stagnalis,Scop.,Common Water-starwort
Callitriche platycarpa,Kütz.,Various-leaved Water-starwort
Callitriche obtusangula,Le Gall,Blunt-fruited Water-starwort
Callitriche brutia,Petagna,Pedunculate Water-starwort
Callitriche hamulata,Kütz. ex W.D.J. Koch,Intermediate Water-starwort
Callitriche hamulata agg.,,
Callitriche palustris,L.,Narrow-fruited Water-starwort
Plantago coronopus,L.,Buck's-horn Plantain
Plantago maritima,L.,Sea Plantain
Plantago major,L.,Greater Plantain
Plantago major subsp. major,,
Plantago major subsp. intermedia,(Gilib.) Lange,
Plantago media,L.,Hoary Plantain
Plantago lanceolata,L.,Ribwort Plantain
Plantago arenaria,Waldst. & Kit.,Branched Plantain
Plantago afra,L.,Glandular Plantain
Plantago albicans,L.,
Plantago aristata,Michx.,Bracted Plantain
Plantago exigua,C. Juss. ex Murray,
Plantago lagopus,L.,Hare's-foot Plantain
Plantago loeflingii,L.,
Plantago notata,Lag.,
Plantago ovata,Forssk.,Blond Plantain
Plantago patagonica,Jacq.,
Plantago rugelii,Decne.,Blackseed Plantain
Plantago sempervirens,Crantz,Shrubby Plantain
Plantago tenuiflora,Waldst. & Kit.,
Plantago varia,R. Br.,Variable Plantain
Plantago virginica,L.,Virginian Plantain
Littorella uniflora,(L.) Asch.,Shoreweed 
Buddleja alternifolia,Maxim.,Alternate-leaved Butterfly-bush
Buddleja davidii,Franch.,Butterfly-bush 
Buddleja davidii x globosa = B. x weyeriana,Weyer,Weyer's Butterfly-bush
Buddleja globosa,Hope,Orange-ball-tree 
Buddleja lindleyana,Fortune ex Lindl.,
Forsythia giraldiana,Lingelsh.,Early Forsythia
Forsythia ovata,Nakai,Korean Forsythia
Forsythia suspensa,(Thunb.) Vahl,Golden-bell 
Forsythia suspensa x viridissima = F. x intermedia,hort. ex Zabel,Forsythia 
Fraxinus excelsior,L.,Ash 
Fraxinus americana,L.,White Ash
Fraxinus latifolia,Benth.,Oregon Ash
Fraxinus ornus,L.,Manna Ash
Fraxinus pennsylvanica,Marshall,Red Ash
Syringa vulgaris,L.,Lilac 
Syringa x persica,L.,Persian Lilac
Ligustrum vulgare,L.,Wild Privet
Ligustrum vulgare x ovalifolium = L. x vicaryi,Rehder,
Ligustrum ovalifolium,Hassk.,Garden Privet
Ligustrum vulgare agg.,,
Ligustrum lucidum,W.T. Aiton,Tree Privet
Ligustrum sinensis,Lour.,Chinese Privet
Ligustrum strongylophyllum,Hemsl.,
Jasminum beesianum,Forrest & Diels,Red Jasmine
Jasminum humile,L.,Italian Jasmine
Jasminum nudiflorum,Lindl.,Winter Jasmine
Jasminum officinale,L.,Summer Jasmine
Osmanthus decorus x delavayi = O. x burkwoodii,(Burkwood & Skipwith) P.S. Green,
Osmanthus heterophyllus,(G. Don) P.S. Green,
Phillyrea latifolia,L.,
Verbascum blattaria,L.,Moth Mullein
Verbascum blattaria x nigrum = V. x intermedium,Rupr. ex Bercht. & Pfund,
Verbascum virgatum,Stokes,Twiggy Mullein
Verbascum virgatum x thapsus = V. x lemaitrei,Boreau,
Verbascum pyramidatum,M. Bieb.,Caucasian Mullein
Verbascum pyramidatum x thapsus,,
Verbascum pyramidatum x nigrum,,
Verbascum bombyciferum,Boiss.,Broussa Mullein
Verbascum phlomoides,L.,Orange Mullein
Verbascum phlomoides x thapsus = V. x kerneri,Fritsch,
Verbascum densiflorum,Bertol.,Dense-flowered Mullein
Verbascum thapsus,L.,Great Mullein
Verbascum thapsus subsp. giganteum,(Willk.) Nyman,
Verbascum thapsus x nigrum = V. x semialbum,Chaub.,
Verbascum thapsus x speciosum = V. x duernsteinense,Teyber,
Verbascum thapsus x pulverulentum = V. x godronii,Boreau,
Verbascum thapsus x lychnitis = V. x thapsi,L.,
Verbascum chaixii,Vill.,Nettle-leaved Mullein
Verbascum nigrum,L.,Dark Mullein
Verbascum nigrum x pulverulentum = V. x mixtum,Ramond ex DC.,
Verbascum nigrum x lychnitis = V. x incanum,Gaudin,
Verbascum speciosum,Schrad.,Hungarian Mullein
Verbascum pulverulentum,Vill.,Hoary Mullein
Verbascum pulverulentum x lychnitis = V. x regelianum,Wirtg.,
Verbascum lychnitis,L.,White Mullein
Verbascum boerhavii,L.,
Verbascum creticum,(L.) Cav.,Cretan Mullein
Verbascum olympicum,Boiss.,
Verbascum ovalifolium,Donn ex Sims,
Verbascum phoeniceum,L.,Purple Mullein
Verbascum sinuatum,L.,
Scrophularia nodosa,L.,Common Figwort
Scrophularia auriculata,L.,Water Figwort
Scrophularia umbrosa,Dumort.,Green Figwort
Scrophularia scorodonia,L.,Balm-leaved Figwort
Scrophularia vernalis,L.,Yellow Figwort
Scrophularia canina,L.,French Figwort
Scrophularia peregrina,L.,Nettle-leaved Figwort
Scrophularia scopolii,Hoppe ex Pers.,Italian Figwort
Phygelius capensis,E. Mey. ex Benth.,Cape Figwort
Mimulus moschatus,Douglas ex Lindl.,Musk 
Mimulus guttatus,DC.,Monkeyflower 
Mimulus guttatus x luteus = M. x robertsii,Silverside,Hybrid Monkeyflower
Mimulus guttatus x luteus x cupreus,,
Mimulus guttatus x cupreus = M. x burnetii,S. Arn.,Coppery Monkeyflower
Mimulus luteus,L.,Blood-drop-emlets 
Mimulus luteus x cupreus = M. x maculosus,T. Moore,Scottish Monkeyflower
Mimulus luteus agg.,,
Mimulus cardinalis,Douglas ex Benth.,Scarlet Monkeyflower
Mimulus ringens,L.,Allegheny Monkeyflower
Limosella aquatica,L.,Mudwort 
Limosella aquatica x australis,,
Limosella australis,R. Br.,Welsh Mudwort
Limosella capensis,Thunb.,
Calceolaria chelidonioides,Kunth,Slipperwort 
Calceolaria biflora,Lam.,
Calceolaria x herbeohybrida,Voss,Florists' Slipperwort
Calceolaria integrifolia,Murray,Bush Slipperwort
Antirrhinum majus,L.,Snapdragon 
Antirrhinum siculum,Mill.,
Chaenorhinum origanifolium,(L.) Kostel.,Malling Toadflax
Chaenorhinum minus,(L.) Lange,Small Toadflax
Chaenorhinum rubrifolium,(Robill. & Castagne ex DC.) Fourr.,
Misopates orontium,(L.) Raf.,Weasel's-snout 
Misopates calycinum,Rothm.,Pale Weasel's-snout
Asarina procumbens,Mill.,Trailing Snapdragon
Cymbalaria muralis,"P. Gaertn., B. Mey. & Scherb.",Ivy-leaved Toadflax
Cymbalaria muralis subsp. muralis,,
Cymbalaria muralis subsp. visianii,(Kümmerle ex Jáv.) D.A. Webb,
Cymbalaria pallida,(Ten.) Wettst.,Italian Toadflax
Cymbalaria hepaticifolia,(Poir.) Wettst.,Corsican Toadflax
Cymbalaria longipes,(Boiss. & Heldr.) A. Chev.,
Kickxia elatine,(L.) Dumort.,Sharp-leaved Fluellen
Kickxia elatine subsp. elatine,,
Kickxia elatine subsp. crinita,(Mabille) Greuter,
Kickxia spuria,(L.) Dumort.,Round-leaved Fluellen
Linaria vulgaris,Mill.,Common Toadflax
Linaria vulgaris x repens = L. x sepium,G.J. Allman,
Linaria dalmatica,(L.) Mill.,Balkan Toadflax
Linaria purpurea,(L.) Mill.,Purple Toadflax
Linaria purpurea x repens = L. x dominii,Druce,
Linaria repens,(L.) Mill.,Pale Toadflax
Linaria repens x supina = L. x cornubiensis,Druce,
Linaria supina,(L.) Chaz.,Prostrate Toadflax
Linaria arenaria,DC.,Sand Toadflax
Linaria pelisseriana,(L.) Mill.,Jersey Toadflax
Linaria aeruginea,(Gouan) Cav.,
Linaria alpina,(L.) Mill.,
Linaria angustissima,(Loisel.) Borbás,Narrow-leaved Toadflax
Linaria anticaria,Boiss. & Reut.,
Linaria arvensis,(L.) Desf.,Corn Toadflax
Linaria bipartita,(Vent.) Willd.,
Linaria caesia,(Pers.) F. Dietr.,
Linaria chalepensis,(L.) Mill.,
Linaria incarnata,(Vent.) Spreng.,
Linaria maroccana,Hook. f.,Annual Toadflax
Linaria micrantha,(Cav.) Hoffmamms. & Link,
Linaria reflexa,(L.) Desf.,
Linaria saxatilis,(L.) Chaz.,
Linaria simplex,(Willd.) DC.,
Linaria spartea,(L.) Hoffmanns. & Link,
Linaria triphylla,(L.) Mill.,
Linaria viscosa,(L.) Dum. Cours.,
Digitalis purpurea,L.,Foxglove 
Digitalis lutea,L.,Straw Foxglove
Digitalis ferruginea,L.,Rusty Foxglove
Digitalis grandiflora,Mill.,Yellow Foxglove
Digitalis lanata,Ehrh.,Grecian Foxglove
Erinus alpinus,L.,Fairy Foxglove
Veronica serpyllifolia,L.,Thyme-leaved Speedwell
Veronica serpyllifolia subsp. serpyllifolia,,
Veronica serpyllifolia subsp. humifusa,(Dickson) Syme,
Veronica repens,Clarion ex DC.,Corsican Speedwell
Veronica alpina,L.,Alpine Speedwell
Veronica fruticans,Jacq.,Rock Speedwell
Veronica austriaca,L.,Large Speedwell
Veronica austriaca subsp. teucrium,(L.) D.A. Webb,
Veronica officinalis,L.,Heath Speedwell
Veronica chamaedrys,L.,Germander Speedwell
Veronica montana,L.,Wood Speedwell
Veronica scutellata,L.,Marsh Speedwell
Veronica beccabunga,L.,Brooklime 
Veronica anagallis-aquatica,L.,Blue Water-Speedwell
Veronica anagallis-aquatica x catenata = V. x lackschewitzii,J.B. Keller,
Veronica catenata,Pennell,Pink Water-Speedwell
Veronica acinifolia,L.,French Speedwell
Veronica praecox,All.,Breckland Speedwell
Veronica triphyllos,L.,Fingered Speedwell
Veronica arvensis,L.,Wall Speedwell
Veronica verna,L.,Spring Speedwell
Veronica peregrina,L.,American Speedwell
Veronica agrestis,L.,Green Field-speedwell
Veronica polita,Fr.,Grey Field-speedwell
Veronica persica,Poir.,Common Field-speedwell
Veronica crista-galli,Steven,Crested Field-speedwell
Veronica filiformis,Sm.,Slender Speedwell
Veronica hederifolia,L.,Ivy-leaved Speedwell
Veronica hederifolia subsp. hederifolia,,
Veronica hederifolia subsp. lucorum,(Klett & Richt.) Hartl,
Veronica longifolia,L.,Garden Speedwell
Veronica longifolia x spicata,,
Veronica spicata,L.,Spiked Speedwell
Veronica spicata subsp. spicata,,
Veronica spicata subsp. hybrida,(L.) Gaudin,
Veronica spicata subsp. orchidea,(Crantz) Hayek,
Veronica bachofenii,Heuff.,
Veronica calycina,R. Br.,Cup Speedwell
Veronica campylopoda,Boiss.,
Veronica chamaepithyoides,Lam.,
Veronica cymbalaria,Bodard,Pale Speedwell
Veronica gentianoides,J. Vahl,
Veronica glauca,Sibth. & Sm.,
Veronica grandis,Fisch. & Spreng.,
Veronica grisebachii,Walters,
Veronica opaca,Fr.,
Veronica orientalis,Mill.,
Veronica paniculata,L.,
Veronica prostrata,L.,Prostrate Speedwell
Veronica urticifolia,Jacq.,Nettle-leaved Speedwell
Hebe salicifolia,(G. Forst.) Pennell,Koromiko 
Hebe salicifolia x elliptica = H. x lewisii,(J.B. Armstr.) A. Wall,Lewis's Hebe
Hebe brachysiphon,Summerh.,Hooker's Hebe
Hebe dieffenbachii,(Benth.) Cockayne & Allan,Dieffenbach's Hebe
Hebe barkeri,(Cockayne) A. Wall,Barker's Hebe
Hebe 'Autumn Glory',,
Hebe x amabilis,(Cheeseman) Cockayne & Allan,
Hebe cupressoides,(Hook. f.) Cockayne & Allan,
Hebe elliptica x speciosa = H. x franciscana,(Eastw.) Souster,Hedge Veronica
Hebe leiophylla,(Cheeseman) Cockayne & Allan,
Hebe parviflora,(J. Vahl) Cockayne & Allan,
Hebe stricta,(Banks & Sol. ex Benth.) L.B. Moore,
Sibthorpia europaea,L.,Cornish Moneywort
Melampyrum cristatum,L.,Crested Cow-wheat
Melampyrum arvense,L.,Field Cow-wheat
Melampyrum pratense,L.,Common Cow-wheat
Melampyrum pratense subsp. pratense,,
Melampyrum pratense subsp. commutatum,(Tausch ex A. Kern.) C.E. Britton,
Melampyrum sylvaticum,L.,Small Cow-wheat
Melampyrum barbatum,Waldst. & Kit. ex Willd.,
Euphrasia rostkoviana,Hayne,
Euphrasia rostkoviana subsp. rostkoviana,,
Euphrasia rostkoviana subsp. montana,(Jord.) Wettst.,
Euphrasia rostkoviana x rivularis,,
Euphrasia rostkoviana x anglica,,
Euphrasia rostkoviana x arctica,,
Euphrasia rostkoviana x nemorosa,,
Euphrasia rostkoviana x confusa,,
Euphrasia rostkoviana x micrantha,,
Euphrasia rivularis,Pugsley,
Euphrasia anglica,Pugsley,
Euphrasia anglica x vigursii,,
Euphrasia anglica x arctica,,
Euphrasia anglica x nemorosa,,
Euphrasia anglica x confusa,,
Euphrasia anglica x micrantha,,
Euphrasia vigursii,Davey,
Euphrasia vigursii x tetraquetra,,
Euphrasia arctica,Lange ex Rostrup,
Euphrasia arctica subsp. arctica,,
Euphrasia arctica subsp. borealis,(F. Towns.) Yeo,
Euphrasia arctica x tetraquetra,,
Euphrasia arctica x nemorosa,,
Euphrasia arctica x nemorosa x confusa,,
Euphrasia arctica x nemorosa x micrantha,,
Euphrasia arctica x confusa,,
Euphrasia arctica x foulaensis,,
Euphrasia arctica x ostenfeldii,,
Euphrasia arctica x marshallii,,
Euphrasia arctica x rotundifolia,,
Euphrasia arctica x micrantha = E. x difformis,F. Towns.,
Euphrasia arctica x scottica = E. x venusta,F. Towns.,
Euphrasia arctica x heslop-harrisonii,,
Euphrasia arctica x salisburgensis,,
Euphrasia tetraquetra,(Bréb.) Arrond.,
Euphrasia tetraquetra x nemorosa,,
Euphrasia tetraquetra x pseudokerneri,,
Euphrasia tetraquetra x confusa,,
Euphrasia tetraquetra x stricta,,
Euphrasia tetraquetra x marshallii,,
Euphrasia tetraquetra x micrantha,,
Euphrasia nemorosa,(Pers.) Wallr.,
Euphrasia nemorosa x pseudokerneri,,
Euphrasia nemorosa x confusa,,
Euphrasia nemorosa x stricta = E. x haussknechtii,Wettst.,
Euphrasia nemorosa x foulaensis,,
Euphrasia nemorosa x ostenfeldii,,
Euphrasia nemorosa x marshallii,,
Euphrasia nemorosa x campbelliae,,
Euphrasia nemorosa x micrantha,,
Euphrasia nemorosa x scottica,,
Euphrasia nemorosa x salisburgensis,,
Euphrasia pseudokerneri,Pugsley,
Euphrasia pseudokerneri x confusa,,
Euphrasia confusa,Pugsley,
Euphrasia confusa x frigida,,
Euphrasia confusa x frigida x scottica,,
Euphrasia confusa x foulaensis,,
Euphrasia confusa x cambrica,,
Euphrasia confusa x ostenfeldii,,
Euphrasia confusa x campbelliae,,
Euphrasia confusa x micrantha,,
Euphrasia confusa x scottica,,
Euphrasia confusa x heslop-harrisonii,,
Euphrasia stricta,D. Wolff ex J.F. Lehm.,
Euphrasia frigida,Pugsley,
Euphrasia frigida x micrantha,,
Euphrasia frigida x scottica,,
Euphrasia foulaensis,F. Towns. ex Wettst.,
Euphrasia foulaensis x ostenfeldii,,
Euphrasia foulaensis x marshallii,,
Euphrasia foulaensis x rotundifolia,,
Euphrasia foulaensis x micrantha,,
Euphrasia foulaensis x scottica,,
Euphrasia cambrica,Pugsley,
Euphrasia cambrica x ostenfeldii,,
Euphrasia ostenfeldii,(Pugsley) Yeo,
Euphrasia ostenfeldii x micrantha,,
Euphrasia ostenfeldii x scottica,,
Euphrasia marshallii,Pugsley,
Euphrasia marshallii x campbelliae,,
Euphrasia marshallii x micrantha,,
Euphrasia marshallii x scottica,,
Euphrasia rotundifolia,Pugsley,
Euphrasia campbelliae,Pugsley,
Euphrasia campbelliae x micrantha,,
Euphrasia micrantha,Rchb.,
Euphrasia micrantha x scottica = E. x electa,F. Towns.,
Euphrasia micrantha x salisburgensis,,
Euphrasia scottica,Wettst.,
Euphrasia heslop-harrisonii,Pugsley,
Euphrasia salisburgensis,Funck,
Euphrasia officinalis agg.,,
Euphrasia ostenfeldii agg.,,
Odontites jaubertianus,(Boreau) D. Dietr. ex Walp.,French Bartsia
Odontites jaubertianus subsp. chrysanthus,(Boreau) P. Fourn.,
Odontites vernus,(Bellardi) Dumort.,Red Bartsia
Odontites vernus subsp. vernus,,
Odontites vernus subsp. serotinus,(Syme) Corb.,
Odontites vernus subsp. litoralis,(Fr.) Nyman,
Bartsia alpina,L.,Alpine Bartsia
Parentucellia viscosa,(L.) Caruel,Yellow Bartsia
Parentucellia latifolia,(L.) Caruel,
Rhinanthus angustifolius,C.C. Gmel.,Greater Yellow-rattle
Rhinanthus minor,L.,Yellow-rattle 
Rhinanthus minor subsp. minor,,
Rhinanthus minor subsp. stenophyllus,O. Schwarz,
Rhinanthus minor subsp. monticola,(Sterneck) O. Schwarz,
Rhinanthus minor subsp. calcareus,(Wilmott) E.F. Warb.,
Rhinanthus minor subsp. lintonii,(Wilmott) P.D. Sell,
Rhinanthus minor subsp. borealis,(Sterneck) P.D. Sell,
Rhinanthus alectorolophus,(Scop.) Pollich,
Pedicularis palustris,L.,Marsh Lousewort
Pedicularis sylvatica,L.,Lousewort 
Pedicularis sylvatica subsp. sylvatica,,
Pedicularis sylvatica subsp. hibernica,D.A. Webb,
Alonsoa caulialata,Ruiz & Pav.,
Alonsoa incisifolia,Ruiz & Pav.,Cut-leaved Mask-flower
Alonsoa peduncularis,(Kuntze) Wettst.,
Alonsoa warscewiczii,Regel,Mask-flower 
Anarrhinum bellidifolium,(L.) Willd.,Daisy-leaved Toadflax
Bellardia trixago,(L.) All.,Trixago Bartsia
Castilleja coccinea,(L.) Spreng.,
Collinsia heterophylla,G. Buist ex Graham,Chinese-houses 
Gratiola officinalis,L.,Gratiole 
Jovellana sinclairii,(Hook.) Kraenzl.,
Nemesia melissifolia,Benth.,
Nemesia strumosa,Benth.,Cape-jewels 
Nemesia versicolor,E. Mey. ex Benth.,
Nuttallanthus canadensis,(L.) D.A. Sutton,
Orthocarpus erianthus,Benth.,Butter-and-eggs 
Orthocarpus purpurascens,Benth.,Purple Owl-clover
Paulownia tomentosa,(Thunb.) Steudel,Foxglove-tree 
Veronicastrum virginicum,(L.) Farw.,Culver's-root 
Hebenstretia dentata,L.,
Selago corymbosa,L.,
Lathraea squamaria,L.,Toothwort 
Lathraea clandestina,L.,Purple Toothwort
Orobanche purpurea,Jacq.,Yarrow Broomrape
Orobanche rapum-genistae,Thuill.,Greater Broomrape
Orobanche caryophyllacea,Sm.,Bedstraw Broomrape
Orobanche elatior,Sutton,Knapweed Broomrape
Orobanche alba,Stephan ex Willd.,Thyme Broomrape
Orobanche reticulata,Wallr.,Thistle Broomrape
Orobanche reticulata subsp. pallidiflora,(Wimmer & Grab.) Hayek,
Orobanche crenata,Forssk.,Bean Broomrape
Orobanche hederae,Duby,Ivy Broomrape
Orobanche picridis,F.W. Schultz,Oxtongue Broomrape
Orobanche minor,Sm.,Common Broomrape
Orobanche aegyptiaca,Pers.,
Orobanche flava,Mart. ex F.W. Schultz,Butterbur Broomrape
Orobanche lucorum,A. Braun,Barberry Broomrape
Orobanche ramosa,L.,Hemp Broomrape
Ramonda myconi,(L.) Rchb.,Pyrenean-violet 
Acanthus mollis,L.,Bear's-breech 
Acanthus spinosus,L.,Spiny Bear's-breech
Ibicella lutea,(Lindl.) Eselt.,
Proboscidea louisianica,(Mill.) Thell.,Purple-flowered Devil's-claw
Sesamum orientale,L.,Sesame 
Campsis radicans,(L.) Seem. ex Bureau,Trumpet-creeper 
Catalpa bignonioides,Walter,Indian-bean-tree 
Eccremocarpus scaber,(D. Don) Ruiz & Pav.,Chilean Glory-flower
Pinguicula lusitanica,L.,Pale Butterwort
Pinguicula alpina,L.,Alpine Butterwort
Pinguicula vulgaris,L.,Common Butterwort
Pinguicula vulgaris x grandiflora = P. x scullyi,Druce,
Pinguicula grandiflora,Lam.,Large-flowered Butterwort
Utricularia vulgaris,L.,Greater Bladderwort
Utricularia australis,R. Br.,Bladderwort 
Utricularia intermedia,Hayne,Intermediate Bladderwort
Utricularia stygia,G. Thor,Nordic Bladderwort
Utricularia ochroleuca,R.W. Hartm.,Pale Bladderwort
Utricularia minor,L.,Lesser Bladderwort
Utricularia vulgaris agg.,,
Utricularia intermedia agg.,,
Campanula patula,L.,Spreading Bellflower
Campanula rapunculus,L.,Rampion Bellflower
Campanula lactiflora,M. Bieb.,Milky Bellflower
Campanula persicifolia,L.,Peach-leaved Bellflower
Campanula medium,L.,Canterbury-bells 
Campanula alliariifolia,Willd.,Cornish Bellflower
Campanula glomerata,L.,Clustered Bellflower
Campanula glomerata subsp. glomerata,,
Campanula glomerata subsp. elliptica,(Kit. ex Schult.) O. Schwarz,
Campanula pyramidalis,L.,Chimney Bellflower
Campanula portenschlagiana,Schult.,Adria Bellflower
Campanula poscharskyana,Degen,Trailing Bellflower
Campanula latifolia,L.,Giant Bellflower
Campanula trachelium,L.,Nettle-leaved Bellflower
Campanula rapunculoides,L.,Creeping Bellflower
Campanula rhomboidalis,L.,Broad-leaved Harebell
Campanula rotundifolia,L.,Harebell 
Campanula bononiensis,L.,Pale Bellflower
Campanula carpatica,Jacq.,Tussock Bellflower
Campanula cochleariifolia,Lam.,Fairy's-thimble 
Campanula fragilis,Cirillo,Italian Bellflower
Campanula garganica,Ten.,Adriatic Bellflower
Legousia hybrida,(L.) Delarbre,Venus's-looking-glass 
Legousia falcata,(Ten.) Fritsch,
Legousia pentagonia,(L.) Druce,
Legousia speculum-veneris,(L.) Chaix,Large Venus's-looking-glass
Wahlenbergia hederacea,(L.) Rchb.,Ivy-leaved Bellflower
Wahlenbergia lobelioides,(L. f.) Link,
Wahlenbergia nutabunda,(Guss.) A. DC.,
Wahlenbergia trichogyna,Stearn,
Trachelium caeruleum,L.,Throatwort 
Phyteuma spicatum,L.,Spiked Rampion
Phyteuma spicatum subsp. spicatum,,
Phyteuma spicatum subsp. coeruleum,Rich. Schulz,
Phyteuma orbiculare,L.,Round-headed Rampion
Phyteuma scheuchzeri,All.,Oxford Rampion
Phyteuma nigrum,F.W. Schmidt,Black Rampion
Jasione montana,L.,Sheep's-bit 
Lobelia urens,L.,Heath Lobelia
Lobelia erinus,L.,Garden Lobelia
