Species,Authority,Common Name
Berberis glaucocarpa,Stapf,Great Barberry
Berberis wilsoniae,Hemsl.,Mrs Wilson's Barberry
Berberis aggregata,C.K. Schneid.,Clustered Barberry
Berberis gagnepainii,C.K. Schneid.,Gagnepain's Barberry
Berberis gagnepainii x candidula = B. x hybrido-gagnepainii,C.K. Schneid.,
Berberis julianae,C.K. Schneid.,Chinese Barberry
Berberis buxifolia,Lam.,Box-leaved Barberry
Berberis darwinii,Hook.,Darwin's Barberry
Berberis darwinii x empetrifolia = B. x stenophylla,Lindl.,Hedge Barberry
Berberis hookeri,Lem.,Hooker's Barberry
Berberis manipurana,Ahrendt,Manipur Barberry
Berberis pruinosa,Franch.,
Berberis verruculosa,Hemsl. & E.H. Wilson,
Mahonia aquifolium,(Pursh) Nutt.,Oregon-grape 
Mahonia aquifolium x repens = M. x decumbens,Stace,Newmarket Oregon-grape
Mahonia japonica,(Thunb.) DC.,
Caulophyllum thalictroides,Michx.,Blue Cohosh
Epimedium alpinum,L.,Barrenwort 
Epimedium perralderianum,Coss.,Algerian Barrenwort
Epimedium pinnatum,Fisch.,Caucasian Barrenwort
Podophyllum hexandrum,Royle,Himalayan May-apple
Vancouveria planipetala,Calloni,Redwood-ivy 
Akebia quinata,(Houtt.) Decne.,Five-leaf Akebia
Papaver pseudoorientale,(Fedde) Medw.,Oriental Poppy
Papaver atlanticum,(Ball) Coss.,Atlas Poppy
Papaver somniferum,L.,Opium Poppy
Papaver somniferum subsp. somniferum,,
Papaver somniferum subsp. setigerum,(DC.) Arcang.,
Papaver rhoeas,L.,Common Poppy
Papaver rhoeas x dubium = P. x hungaricum,Borbás,
Papaver dubium,L.,
Papaver dubium subsp. dubium,,Long-headed Poppy
Papaver dubium subsp. lecoqii,(Lamotte) Syme,Yellow-juiced Poppy
Papaver hybridum,L.,Rough Poppy
Papaver argemone,L.,Prickly Poppy
Papaver aculeatum,Thunb.,Bristle Poppy
Papaver arenarium,M. Bieb.,
Papaver bivalve,(DC.) K.-F. Günther,
Papaver bivalve subsp. hybridum,(L.) Karlsson,Violet Horned-poppy
Papaver commutatum,Fisch. & C.A. Mey.,
Papaver glaucum,Boiss. & Hausskn.,Tulip Poppy
Papaver laevigatum,M. Bieb.,
Papaver nudicaule,L.,Iceland Poppy
Papaver pavoninum,B. Mey.,Peacock Poppy
Meconopsis cambrica,(L.) Vig.,Welsh Poppy
Argemone mexicana,L.,Mexican Poppy
Glaucium flavum,Crantz,Yellow Horned-poppy
Glaucium corniculatum,(L.) Rudolph,Red Horned-poppy
Glaucium grandiflorum,Boiss. & A. Huet,
Chelidonium majus,L.,Greater Celandine
Eschscholzia californica,Cham.,Californian Poppy
Eschscholzia caespitosa,Benth.,
Macleaya cordata,(Willd.) R. Br.,Five-seeded Plume-poppy
Macleaya cordata x microcarpa = M. x kewensis,Turrill,Hybrid Plume-poppy
Hypecoum imberbe,Sibth. & Sm.,
Hypecoum pendulum,L.,
Hypecoum procumbens,L.,
Platystemon californicus,Benth.,Cream-cups 
Dicentra formosa,(Haw.) Walp.,Bleeding-heart 
Dicentra canadensis,(Goldie) Walp.,Squirrel-corn 
Dicentra eximia,(Ker Gawl.) Torr.,Turkey-corn 
Corydalis solida,(L.) Clairv.,Bird-in-a-bush 
Corydalis cava,(L.) Schweigg. & Körte,Hollowroot 
Corydalis cheilanthifolia,Hemsl.,Fern-leaved Corydalis
Corydalis capnoides,(L.) Pers.,Beaked Corydalis
Corydalis ophiocarpa,Hook. f. & Thomson,
Corydalis sempervirens,(L.) Pers.,Harlequin Corydalis
